"InsectPK","BeeNonbee","Order","Family","Genus","SubGenus","Species","SubSpecies"
108,"bee","Hymenoptera","Apidae","Diadasia","","consociata",""
109,"non-bee","Diptera","Syrphidae","","","",""
110,"non-bee","Hymenoptera","Vespidae","Polistes","","dorsalis",""
111,"non-bee","Hymenoptera","Vespidae","Leptochilus","","irwini",""
112,"bee","Hymenoptera","Megachilidae","Osmia","","laeta",""
113,"non-bee","Hymenoptera","Vespidae","Stenodynerus","","blandus",""
114,"non-bee","Diptera","Tachinidae","","","",""
115,"non-bee","Hymenoptera","Vespidae","Polistes","","dominula",""
116,"bee","Hymenoptera","Andrenidae","Andrena","","subchalybea",""
117,"bee","Hymenoptera","Apidae","Peponapis","","pruinosa",""
118,"bee","Hymenoptera","Halictidae","Sphecodes","","sp.","1"
119,"bee","Hymenoptera","Apidae","Diadasia","","australis",""
120,"bee","Hymenoptera","Megachilidae","Megachile","","texana",""
121,"bee","Hymenoptera","Halictidae","Lasioglossum","(Dialictus)","sp.","BM"
122,"non-bee","Lepidoptera","Lycaenidae","Brephidium","","exilis",""
123,"non-bee","Hymenoptera","Vespidae","Polistes","","aurifer",""
124,"bee","Hymenoptera","Halictidae","Lasioglossum","","titusi",""
125,"bee","Hymenoptera","Megachilidae","Ashmeadiella","","bucconis","denticulata"
126,"bee","Hymenoptera","Megachilidae","Megachile","","occidentalis",""
127,"bee","Hymenoptera","Megachilidae","Ashmeadiella","","cactorum","basalis"
128,"bee","Hymenoptera","Megachilidae","Megachile","","angelarum",""
129,"bee","Hymenoptera","Apidae","Xylocopa","","",""
130,"bee","Hymenoptera","Colletidae","Hylaeus","","",""
131,"bee","Hymenoptera","Megachilidae","Megachile","","coquilletti",""
132,"bee","Hymenoptera","Apidae","Triepeolus","","sp.","A"
133,"bee","Hymenoptera","Apidae","Ceratina","","timberlakei",""
134,"non-bee","Diptera","Syrphidae","Eristalis","","stipator",""
135,"bee","Hymenoptera","Halictidae","Lasioglossum","","mellipes",""
136,"non-bee","Hymenoptera","Crabronidae","Tachytes","","distinctus",""
137,"non-bee","Hymenoptera","Sphecidae","Isodontia","","elegans",""
138,"bee","Hymenoptera","Apidae","Triepeolus","","concavus",""
139,"bee","Hymenoptera","Megachilidae","Megachile","","parallela",""
140,"bee","Hymenoptera","Halictidae","Lasioglossum","(Evylaeus)","kincaidii",""
141,"non-bee","Hymenoptera","Vespidae","Euodynerus","","foraminatus",""
142,"non-bee","Diptera","Syrphidae","Platycheirus","","obscurus",""
143,"bee","Hymenoptera","Andrenidae","Andrena","","auricoma",""
144,"bee","Hymenoptera","Andrenidae","Andrena","","chlorogaster",""
145,"non-bee","Lepidoptera","Hesperiidae","Pyrgus","","communis",""
146,"non-bee","Diptera","Syrphidae","Neocnemodon","","",""
147,"bee","Hymenoptera","Halictidae","Sphecodes","","sp.","GM"
148,"bee","Hymenoptera","Apidae","Nomada","","sp.","AM"
149,"bee","Hymenoptera","Apidae","Nomada","","sp.","A"
150,"bee","Hymenoptera","Colletidae","Hylaeus","","bisinuatus",""
151,"non-bee","Lepidoptera","Nymphalidae","Junonia","","coenia",""
152,"non-bee","Lepidoptera","Hesperiidae","Pyrgus","","scriptura",""
153,"bee","Hymenoptera","Andrenidae","Andrena","","piperi",""
154,"bee","Hymenoptera","Andrenidae","Andrena","","chlorura",""
155,"non-bee","Hymenoptera","Chrysididae","Hedychridium","","paulum",""
156,"bee","Hymenoptera","Apidae","Anthophorula","","chionura",""
157,"bee","Hymenoptera","Megachilidae","Osmia","","sp.","MG"
158,"non-bee","Lepidoptera","Hesperiidae","Erynnis","","funeralis",""
159,"non-bee","Hymenoptera","Sphecidae","Prionyx","","thomae",""
160,"bee","Hymenoptera","Apidae","Anthophora","","curta",""
161,"bee","Hymenoptera","Megachilidae","Megachile","","montivaga",""
162,"bee","Hymenoptera","Halictidae","Sphecodes","","sp.","1M"
163,"bee","Hymenoptera","Megachilidae","Megachile","","fidelis",""
164,"bee","Hymenoptera","Halictidae","Lasioglossum","(Dialictus)","punctatoventre",""
165,"non-bee","Lepidoptera","Hesperiidae","Pholisora","","catullus",""
166,"bee","Hymenoptera","Megachilidae","Osmia","","pusilla",""
167,"bee","Hymenoptera","Megachilidae","Osmia","","sp.","MJ"
168,"bee","Hymenoptera","Megachilidae","Anthidiellum","","notatum","robertsoni"
169,"bee","Hymenoptera","Apidae","Diadasia","","rinconis",""
170,"non-bee","Hymenoptera","Chrysididae","Chrysura","","pacifica",""
