"InsectPK","BeeNonbee","Order","Family","Genus","SubGenus","Species","SubSpecies"
393,"bee","Hymenoptera",NA,"Dufourea","","sp.","1"
394,"non-bee","Diptera","Syrphidae","Platycheirus",NA,"",NA
395,"bee","Hymenoptera","Megachilidae","Megachile","","prosopidis",""
396,"bee","Hymenoptera","Halictidae","Halictus","","farinosus",""
397,"non-bee","Diptera","Syrphidae","Eumerus",NA,"",NA
398,"bee","Hymenoptera","Megachilidae","Ashmeadiella","","timberlakei","solida"
399,"bee","Hymenoptera","Megachilidae","Anthidium","","utahense","robertsoni"
400,"bee","Hymenoptera","Halictidae","Sphecodes","","spp.",""
401,"bee","Hymenoptera","Apidae","Triepeolus","","utahensis",""
402,"non-bee","Lepidoptera","Hesperiidae","Poanes",NA,"melane",NA
403,"non-bee","Lepidoptera","Lycaenidae","Callophrys",NA,"augustinus",NA
404,"bee","Hymenoptera","Apidae","Melissodes","","communis","aloplex"
405,"non-bee","Diptera","Syrphidae","Paragus",NA,"sp.",NA
406,"bee","Hymenoptera","Halictidae","Lasioglossum","(Evylaeus)","sp.","B"
407,"non-bee","Diptera","Syrphidae","Platycheirus",NA,"sp.",NA
408,"non-bee","Diptera","Syrphidae","Lapposyrphus",NA,"lapponicus",NA
409,"bee","Hymenoptera","Apidae","Diadasia","","chionura",""
